Name,NGOs
https://www.activecitizensfund.gr/foreas/syllogos-orothetikon-elladas-thetiki-foni/,Θετική Φωνή – Σύλλογος Οροθετικών Ελλάδος
https://www.activecitizensfund.gr/foreas/institoyto-anthropistikon-kai-koinonikon-epistimon-iake/,ΙΑΚΕ - Ινστιτούτο Ανθρωπιστικών και Κοινωνικών Επιστημών
https://www.activecitizensfund.gr/foreas/iasis-astiki-mi-kerdoskopiki-etaireia/,ΙΑΣΙΣ
https://www.activecitizensfund.gr/foreas/idryma-anoichtis-gnosis-elladas/,Ίδρυμα Ανοικτής Γνώσης Ελλάδας – Open Knowledge Foundation GR
https://www.activecitizensfund.gr/foreas/idryma-themistokli-kai-dimitrioy-tsatsoy-kentro-eyropaikoy-syntagmatikoy-dikaioy-kesd/,Ιδρυμα Θεμιστοκλή και Δημητρίου Τσάτσου – Κέντρο Ευρωπαϊκού Συνταγματικού Δικαίου (ΚΕΣΔ)
https://www.activecitizensfund.gr/findyourpartner/partner/lambrakis+foundation/,Ίδρυμα Λαμπράκη
https://www.activecitizensfund.gr/foreas/idryma-prostasias-amp-apokatastasis-paidion-amp-neon-me-noitiki-ysterisi-theotokos/,Ίδρυμα Προστασίας & Αποκατάστασης Παιδιών & Νέων με Νοητική Υστέρηση «Θεοτόκος»
https://www.activecitizensfund.gr/foreas/institoyto-prolepsis/,Ινστιτούτο Prolepsis
https://www.activecitizensfund.gr/foreas/institoyto-dimioyrgikotitas-ereynas-anaptyxis-perifereias-thermoy/,Ινστιτούτο Δημιουργικότητας – Έρευνας – Ανάπτυξης Περιφέρειας Θέρμου
https://www.activecitizensfund.gr/foreas/institoyto-koinonikis-amp-proliptikis-iatrikis/,Ινστιτούτο Κοινωνικής & Προληπτικής Ιατρικής
https://www.activecitizensfund.gr/foreas/institoyto-politikis-ygeias-astiki-mi-kerdoskopiki-etairia/,Ινστιτούτο Πολιτικής Υγείας
https://www.activecitizensfund.gr/foreas/kallisto-perivallontiki-organosi-gia-tin-agria-zoi-kai-ti-fysi/,Καλλιστώ
https://www.activecitizensfund.gr/foreas/kentro-agapis-eleysinas/,Κέντρο Αγάπης Ελευσίνας
https://www.activecitizensfund.gr/foreas/kentro-gynaikon-karditsas/,Κέντρο Γυναικών Καρδίτσας
https://www.activecitizensfund.gr/foreas/kentro-eidikis-ekpaideysis-paidion-amp-enilikon-me-anapiria-k-e-e-p-e-a-orizontes/,Κέντρο Ειδικής Εκπαίδευσης Παιδιών & Ενηλίκων με Αναπηρία (Κ.Ε.Ε.Π.Ε.Α.) «Ορίζοντες»
https://www.activecitizensfund.gr/foreas/kentro-paidioy-kai-efivoy/,Κέντρο Παιδιού και Εφήβου
https://www.activecitizensfund.gr/foreas/kipos-astiki-mi-kerdoskopiki-etaireia/,Κήπος
https://www.activecitizensfund.gr/foreas/kentro-merimnas-oikogeneias-kai-paidioy-kmop/,ΚΜΟΠ – Κέντρο Κοινωνικής Δράσης και Καινοτομίας
https://www.activecitizensfund.gr/foreas/astiki-mi-kerdoskopiki-etaireia-koinonia-dimokratikis-symmetochis/,Κοινωνία Δημοκρατικής Συμμετοχής
https://www.activecitizensfund.gr/foreas/koinofeles-idryma-athanasioy-k-laskaridi/,Κοινωφελές Ίδρυμα Αθανασίου Κ. Λασκαρίδη
https://www.activecitizensfund.gr/foreas/koinofeles-somateio-arogis-kai-frontidas-ilikiomenon-kai-atomon-me-anapiria-frontizo/,Κοινωφελές Σωματείο Φροντίζω
https://www.activecitizensfund.gr/foreas/melissa/,Μέλισσα
https://www.activecitizensfund.gr/foreas/mesogeiako-institoyto-ereynitikis-dimosiografias-miir/,Μεσογειακό Ινστιτούτο Ερευνητικής Δημοσιογραφίας (MIIR)
https://www.activecitizensfund.gr/foreas/metadrasi-drasi-gia-tin-metanasteysi-kai-tin-anaptyxi/,ΜΕΤΑδραση – Δράση για την Μετανάστευση και την Ανάπτυξη
https://www.activecitizensfund.gr/foreas/o-sporos/,Ο Σπόρος
https://www.activecitizensfund.gr/foreas/omilos-gia-tin-epicheirimatikotita-kai-tin-koinoniki-oikonomia-eko/,Όμιλος για την Επιχειρηματικότητα και την Κοινωνική Οικονομία (ΕΚΟ)
https://www.activecitizensfund.gr/foreas/orizontas-kentro-ereynas-technologias-kai-kainotomias/,"""Ορίζοντας- Κέντρο Έρευνας, Τεχνολογίας και Καινοτομίας"""
https://www.activecitizensfund.gr/foreas/ochi-paizoyme-astiki-mi-kerdoskopiki-etairia/,Όχι Παίζουμε
